book_id,title,subtitle,author,synopsis,domain,themes,average_rating,language,preview_link,thumbnail,search_category,difficulty_level,source
10775,Wolverine: Blood & Sorrow (Trade Paperback),Giant-Size Wolverine (2006),,"The feral X-Man fights alone in four standalone stories! In ""The Package,"" Logan must escape from an army of savage killers deep in the heart of war-torn Africa - with a baby strapped to his chest! The infant daughter of an overthrown monarch is the only hope for a country's future, and the conquering warlord is determined to see her dead. Can Wolverine get her to the border alive? Or will his greatest failure doom an entire nation? In ""Better To Give...,"" a heavily armed suicide cult - clad in elf outfits - has taken hostage a mid-Manhattan department store on Christmas Eve and is threatening to blow the place sky high. Among the shoppers: Logan, who's just itching to sink his (Santa) claws into someone after enduring the Yuletide rush. Should be easy for a damn-near invulnerable force of nature to save the day, right? Think again. All is not as it seems, as a spoiled billionaire's daughter is about to find out, and the true meaning of Christmas will be spelt out...in blood. In ""The House of Blood and Sorrow,"" Wolverine lies at the edge of death in a rural Nebraska cornfield after crashing to Earth in the wake of a clash with a giant robot at the edge of the atmosphere, lapsing in and out of a coma as his body desperately tries to heal. And that's when things really get bad. The men who sent the robot to destroy Wolverine have come to finish the job. The townsfolk who witnessed the crash have gathered up a mob to hunt down and destroy the alien that's landed. And Wolverine's fate just might rest in the hands of the strange little girl who first found him in that dark cornfield. A strange little girl with an affinity for taking care of odd creatures - and whose family holds a deep, dark secret hidden from the light of day. And in ""The Healing,"" Logan lies gutted in a Northwest forest, surrounded by wolves and clinging onto hope and sanity as his body goes about the complicated work of repairing itself. It's not as easy as you might think. Collecting WOLVERINE ... more",Comics,Giant-Size Wolverine (2006)  ,,en,,,comics,medium,Marvel/DC Comics Dataset
5811,Marvel Visionaries: Stan Lee (Hardcover),Daredevil (1964 - 1998),,"In celebration of its 65th anniversary, the House of Ideas proudly presents a timeless testament to another true Marvel visionary! In 1961, writer Stan Lee penned FANTASTIC FOUR #1, an historic issue unlike any comic book that had come before. This super-hero team had true personalities - they doubted their own abilities, battled problems of money and illness, and even fought among themselves. The monumental popularity of this realistic comic-book style inspired Lee to create similarly themed titles - including HULK, X-MEN and AVENGERS with artist Jack Kirby; and AMAZING SPIDER-MAN with artist Steve Ditko. By 1965, Lee had successfully established Marvel Comics as a cohesive universe populated by world-famous comic-book characters. Now, this deluxe keepsake edition collects his greatest moments - some never before reprinted:
• ""Captain America Foils the Traitor's Revenge,"" CAPTAIN AMERICA COMICS #3, Stan's first story, a two-page text piece!
• ""The Red Skull's Deadly Revenge,"" CAPTAIN AMERICA COMICS #16, the defining Golden Age Red Skull story!
• ""The Raving Madman,"" SUSPENSE #29, Stan's satire on Frederick Wertham and the comics witch-hunts of the '50s!
• ""Where Walks the Ghost,"" AMAZING ADULT FANTASY #11, a short, twist-ending story by Lee and Ditko!
Plus: ""Spider-Man,"" AMAZING FANTASY #15; ""A Visit With the Fantastic Four,"" FANTASTIC FOUR #11; ""How Stan and Steve Create Spider-Man,"" AMAZING SPIDER-MAN ANNUAL #1; ""In Mortal Combat with Sub-Mariner,"" DAREDEVIL #7; ""Bedlam in the Baxter Building,"" FANTASTIC FOUR ANNUAL #3; ""And Who Shall Mourn for Him?"" SILVER SURFER #5; ""Brother, Take My Hand,"" DAREDEVIL #47; ""And Now, The Goblin,"" ""In the Grip of the Goblin,"" ""The Goblin's Last Stand,"" AMAZING SPIDER-MAN #96-98; ""No More the Thunder God,"" ""When Gods Go Mad,"" ""One God Must Fall,"" THOR #179-181; ""While the World Spins Mad,"" MARVEL PREMIERE #3; and ""The Cycle of Life,"" SPECTACULAR SPIDER-MAN SUPER-SPECIAL 1995!",Comics,Daredevil (1964 - 1998)  Hardcover  MARVEL UNIVERSE, ALL AGES,en,,,comics,medium,Marvel/DC Comics Dataset
19535,Paradise X Vol. 1 (Trade Paperback),Paradise X (2002 - 2003),,"In EARTH X, Captain America, the Fantastic Four, Thor, the Hulk and the X-Men discovered that their purpose - and the meaning of all super heroes and mutated people in the universe - was nothing more than to protect their host planet, in this case Earth, from outside invasion. They learned super heroes are merely biological antibodies to protect a growing embryo within the Earth. An embryo for the Celestial race: This is the way these Gods fought back - only to cause a terrible ecological imbalance, a rift at its core that in time would wipe out all life on the planet. In UNIVERSE X, Captain Marvel was reborn on Earth years after his death. But he also still claimed to walk in the realm of the unliving, where Earth's fallen champions still exist. Mar-Vell led a team of heroes in a quest for the greatest weapons of mass destruction on Earth, suggesting this would limit the destruction caused by the growing power struggle on the planet. But this was not the only reason. For his crusade on Earth only supported and armed a battle he fought in the realm of the fallen, a battle against Death herself. Those living champions who died in his collection of artifacts were added to the battle raging in this other realm. Mar-Vell led a charge against Death and killed her. But now that Death is dead, no one will ever die again. They may writhe in pain in hospitals because their bodies have been broken beyond repair, but they will not die. They will call out for an end to their suffering. They will cry out for peace but there will be no answer. Paradise will be denied them. Yes. Death is truly dead. Long live the living. Collecting PARADISE X #0-5, PARADISE X: XEN and HERALDS #1-3.
304 PGS./Rated T+ ...$29.99
ISBN: 0-7851-2415-2",Comics,Paradise X (2002 - 2003)  ,,en,,,comics,medium,Marvel/DC Comics Dataset
29356,Ultimate Galactus Trilogy (Hardcover),Ultimate Extinction (2006),,"Super-scribe Warren Ellis chronicles the coming of Gah Lak Tus! This deluxe hardcover collects the entire Ultimate Galactus trilogy - ULTIMATE NIGHTMARE, ULTIMATE SECRET and ULTIMATE EXTINCTION - plus extras. In Ultimate Nightmare, world communications systems break down, and the source of the anomaly is revealed as Tanguska, Russia. Nick Fury of S.H.I.E.L.D. leads a force comprised of Captain America, Black Widow and Sam Wilson to investigate; simultaneously, Charles Xavier of the X-Men dispatches his own team consisting of Jean Grey, Wolverine and Colossus. What they discover there - and what happens next - defies belief! In Ultimate Secret, a hidden alien race is trying desperately to keep man from reaching the stars. Cape Canaveral scientist Phillip Lawson, secretly a Kree soldier assigned to a mission on our planet, knows of the hideous plan and will use all his considerable power to stop it...the power of Captain Mahr Vehl! But his sudden betrayal may mean a swift doom for the Earth. Starring the Ultimates and the Ultimate Fantastic Four! And finally, in Ultimate Extinction, it's time for the coming of Gah Lak Tus! And his arrival could mean the end of all life on this planet! Not even the power of S.H.I.E.L.D. or the brilliance of Fantastic Four leader Reed Richards seems able to stop its inexorable march to Earth. What role do the Ultimate X-Men have in this drama? And who on Earth is Misty Knight and how does she know the fate of our world may rest with - Ultimate Silver Surfer? Collecting ULTIMATE NIGHTMARE #1-5, ULTIMATE SECRET #1-4 AND ULTIMATE EXTINCTION #1-5.
344 PGS./Rated T+ ...$34.99",Comics,Ultimate Extinction (2006)  ,,en,,,comics,medium,Marvel/DC Comics Dataset
796,Marvel Masterworks: The X-Men Vol. 7 (Hardcover),Amazing Adventures (1970 - 1976),,"Continuing the story of Marvel's original mutant adventurers, the MARVEL MASTERWORKS brings you the rarest X-Men appearances collected together for the first time ever! When the merry mutants hit the skids, they don't buckle under - they hit the road, and you're riding shotgun. So sit back and get ready for a set of stories that rock the X-Men world to this day! Pushed undercover by mutant paranoia run amok, the Beast sets off on his own, taking a genetic research job with the Brand Corporation. But Hank McCoy's scientific curiosity will come to curse him forever as an experiment gone horribly wrong turns him truly into a beast. Fanged, covered in head-to-toe fur, hunched over and driven to bouts of furious bloodlust, McCoy must struggle to retain his humanity as he struggles against the Brotherhood of Evil Mutants, Quasimodo the Living Computer, Juggernaut, the mutant Mimic and the emerging menace of the Secret Empire that seeks to rend the X-Men asunder. Meanwhile, you'll see Havok and Polaris head to the desert Southwest - but somehow excitement doesn't stray far when the green-haired magnetic mutant encounters the green goliath himself, the Incredible Hulk! Iceman engages in aerial battle with someone who might not call him ""friend,"" the Amazing Spider-Man - but all is forgiven when the combined X-Men team-up to aid the wall-crawler against the living vampire, Morbius! Collecting AMAZING ADVENTURES #11-17, INCREDIBLE HULK #150 and 161, AMAZING SPIDER-MAN #92, MARVEL TEAM-UP #4, and the rare X-MEN #67-80 and ANNUAL covers, this volume is a must-have for every mutant madman.
All Ages ...$54.99",Comics,Amazing Adventures (1970 - 1976)  ,,en,,,comics,medium,Marvel/DC Comics Dataset
11237,Hedge Knight II: Sworn Sword (2007) #1,Hedge Knight II: Sworn Sword (2007 - 2008),"Ben Avery, George R. r. Martin","In 2003, Dabel Brothers Productions released THE HEDGE KNIGHT and stunned the comic book world with their high quality adaptation of New York Times Best-Selling author George R. R. Martin's novella which serves as a prequel to his epic novel series, A SONG OF ICE AND FIRE. In 2004, the collected graphic novel edition of THE HEDGE KNIGHT went on to become one of the best-selling graphic novels of the year. In 2006, Marvel Comics and Dabel Brothers Production republished the book in a prestige hardcover format, much to the delight of collectors and critics alike. And in Spring 2007, the Dabel Brothers will continue the story of THE HEDGE KNIGHT by adapting the next chapter in the series: George R. R. Martin's THE SWORN SWORD.
Featuring the return of the creative duo of Mike S. Miller and Ben Avery, THE SWORN SWORD tells the story of the adventures of Ser Duncan and his squire one year after their initial meeting at the tournament in Ashford. After traveling the land in search of the puppeteer girl Tanselle, Dunk and Egg find themselves in the charge of Ser Eustace, an aged knight who has accepted Dunk as his sworn sword. But Ser Eustace has another knight in his service who is nothing but trouble, and he will make Dunk's life far more difficult when he rashly attacks a peasant and causes grief to a local noble, the Lady Rohanne Webber. But the Lady Rohanne has problems of her own...and she knows the truth about Ser Eustace and the side he took in the battle of Redgrass Field. The long-awaited sequel to THE HEDGE KNIGHT has finally arrived!
32 PGS./ Rated T+...$2.99",Comics,Hedge Knight II: Sworn Sword (2007 - 2008)  Comic  DABEL BROTHERS, RATED T+,en,,,comics,medium,Marvel/DC Comics Dataset
4493,Marvel Masterworks: Atlas Era Heroes Vol. 2 (Hardcover),Captain America Comics (1941 - 1954),,"Collects Men’s Adventures #27-28, Captain America #76-78, Human Torch #36-38, Marvel Super-Heroes #16. The Atlas Era Hero Revival continues with the adventures of the comics’ most famous trio of Communist conquering heroes: Captain America, the Human Torch and the Sub-Mariner! Beginning with the Big Three’s anthology adventures in Men’s Adventures, we then dive headlong into Captain America’s complete 1954 solo series. Illustrated by Bullpen legend John Romita in some of his very first super hero stories, you’ll see Cap and Bucky fight Fifth Columnists, Commie spies and even the Soviet Electro! Next up, it’s the Human Torch and Toro! Returned from his slumber by an atomic bomb, the Torch has rejoined his young sidekick in a battle to clean up threats as amazing and entertaining as vampires, killer robots and his 1950s nemesis, the Vulture. Their crime-fighting adventures even take on a global purchase, stretching all the way to the 38th Parallel and Communist Korea! And finally, for a quick taste of what’s to come in Atlas Era Heroes’ next volume, comes an assortment of Bill Everett’s lavishly drawn tales of the lord of the Atlantis, Namor the Sub-Mariner. Considered by many to be the definitive take on the character, Everett’s ’50s Sub-Mariner is nothing less than treasure from the deep! We’d be remiss to leave you without a bevy of historical bonuses, including a rare Human Torch tale that went unprinted for more than a decade, original artwork, Atlas Era house ads and an introduction by Hero Revival scholar extraordinaire Roy Thomas.",Comics,Captain America Comics (1941 - 1954)  ,,en,,,comics,medium,Marvel/DC Comics Dataset
14027,King-Size Conan (2020) #1,King-Size Conan (2020),"Kurt Busiek, Chris Claremont, Kevin Eastman, Steven Deknight","BY CROM, YOU’VE NEVER SEEN A CELEBRATION LIKE THIS – MARKING 50 YEARS OF CONAN THE BARBARIAN IN COMICS! Revelations, surprises and savage action prevail in the all-new KING-SIZE CONAN! In 1970, Roy Thomas brought CONAN THE BARBARIAN, a creation of author Robert E. Howard, to Marvel Comics. With art by the incomparable Barry Windsor-Smith, CONAN THE BARBARIAN #1 introduced the Hyborian Age to a whole new audience, paving the way for decades of comics and Conan’s conquest of pop culture. Now get ready to celebrate 50 years of CONAN with an oversize special spanning the breadth of Conan’s life and times by the most dazzling array of creative talent ever assembled in one book to tread the jeweled thrones of the Earth! Experience Roy Thomas and Steve McNiven’s all-new prelude to that original story from 1970! Thrill to a tale of revenge by Kevin Eastman (co-creator, Teenage Mutant Ninja Turtles), writing and drawing his FIRST Marvel story! Chris Claremont and Roberto de la Torre team up to unveil a turning point in Conan’s career as a mercenary! Kurt Busiek and Pete Woods recount an early brush with sorcerous forces that will shape Conan’s destiny!Conan and Bêlit sail together again for the first time since the 2019 relaunch, with Jesús Saiz illustrating the Marvel Comics maiden voyage of Steven S. DeKnight (Netflix’s DAREDEVIL writer/director/showrunner)!The perfect introduction for new fans, and an essential adventure for die-hards, this is the can’t-miss CONAN comic of the decade!",Comics,King-Size Conan (2020)  Comic  Marvel Universe, Parental Advisory,en,,,comics,medium,Marvel/DC Comics Dataset
8958,Fantastic Four Omnibus Vol. 2 (Hardcover),Fantastic Four (1961 - 1998),,"With all that Stan Lee and Jack Kirby accomplished in their first 30 issues of FANTASTIC FOUR, who would have thought they were just warming up? Well, True Believers, now it's time to jump into the fire because the second 30 are where they really start to turn up the heat!
Their achievements reflect the boundless energy of two creators at the top of their game with each issue, character and creation building upon and exceeding the scope of the last. It's a list of accomplishments unparalleled in the history of comics: the origin of Dr. Doom; the Frightful Four; the Wedding of Reed Richards and Sue Storm; the Inhumans; the first appearance of the Silver Surfer; the Galactus Saga; the debut of the world's first black super hero, the Black Panther; the cosmic clash between the FF, the Surfer and Dr. Doom; and, of course, ""This Man, This Monster!"" - the story widely regarded as the greatest FF tale of all!
Collecting the greatest stories from the World's Greatest Comics Magazine in one, massive collector's edition that has been painstakingly restored and recolored from the sharpest material in the Marvel Archives. With critical essays on the Lee/Kirby collaboration and bonus features a-plenty, this book is nothing short of a cornerstone to the Marvel Universe!
Collecting FANTASTIC FOUR #31-60 and ANNUAL #2-4.
832 PGS./All Ages ...$99.99
ISBN: 0-7851-2403-9
Trim size: oversized
FANTASTIC FOUR OMNIBUS VOL. 2 HC - VARIANT EDITION
832 PGS./All Ages ...$99.99
ISBN: 0-7851-2510-8",Comics,Fantastic Four (1961 - 1998)  ,,en,,,comics,medium,Marvel/DC Comics Dataset
9481,Fantastic Four: The Life Fantastic (Trade Paperback),Fantastic Four (1998 - 2012),,"FOUR FANTASTIC TALES OF THE FF!
• When a doomsday weapon manufactured by Hydra turns up in the Nevada desert, there's only one man the authorities can ask to go in and defuse it: Bruce Banner! What does all of this have to do with the FF, you ask? Well, who do you think has to deal with the fallout when it all goes terribly wrong?
• It's hard to believe Reed and Sue tied the knot 40 years ago... and it certainly doesn't seem that much time has passed to Reed and Sue themselves when a special evening out gives them a chance to look over their entire life together- past, present and future!
• The Invisible Woman is dead! As Reed cradles his murdered wife, lost in grief, and Ben rampages after Sue's killer, Johnny defiantly decides to do whatever it takes- no matter the cost or consequence- to see his sister alive again. What he does will change the way the Fantastic Four look at him forever.
• It's a day of celebration and reflection in Latveria, but deep within the confines of the Latverain Embassy to America, Victor Von Doom and Reed Richards engage in a subtle battle of wits, with all of Manhattan as the playing field. What are the stakes? And can Mister Fantastic triumph when all the moves have been made in advance?
Collects FANTASTIC FOUR #533-535, FANTASTIC FOUR: THE WEDDING SPECIAL, FANTASTIC FOUR SPECIAL 2005 and FANTASTIC FOUR: A DEATH IN THE FAMILY.
152 PGS./Rated A ...$16.99",Comics,Fantastic Four (1998 - 2012)  ,,en,,,comics,medium,Marvel/DC Comics Dataset
